"company_overseas_infrastructure_id","company_id","infrastructure_type_id","secondary_infrastructure_type_id","country_id","city","overseas_infrastructure_lat","overseas_infrastructure_lng","label","year_commenced","Primary topic","Secondary (if needed)","text","cable_id","highlight","(data centre) type","street address","source","year","type_of_company_id_ref","ownership_structure_id_ref","cable_countries","Third topic","","","Do Not Touch - For Country Counts","Infrastructure 1","Infrastructure 2","Topic 1","Topic 2","Topic 3","Company","","Cable","Terrestrial","Leased"
"1570","1 | Huawei","1 | R&D lab","12 | 5G relationship","228 | United States","California","38.47899","-122.70942","Keysight","2019","3 | 5G","","In February 2019, China Mobile, working jointly with China Telecommunication Technology Labs, Keysight, and Huawei (<a href = ""http://www.chinatelecom.com.cn/expo/05/201903/t20190307_46654.html"">Source</a>) gained approval from the Global Certification Forum (GCF) for their 5G New Radio (NR) Non-Standalone (NSA) test cases, enabling the mobile ecosystem to accelerate protocol and radio frequency (RF) device certification. <a href = ""https://about.keysight.com/en/newsroom/pr/2019/22jan-nr19007.shtml"">Source</a>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","1 | R&D lab228 | United States","12 | 5G relationship228 | United States","3 | 5G228 | United States","228 | United States","228 | United States","1 | Huawei228 | United States","","","",""
"1571","7 | China Unicom","13 | Cable Terrestrial","","","","","","","","","","TEA (Transit Europe-Asia) runs through Russia on Rostelecom's backbone network, China on China Telecom or China Unicom's backbone network, and to Japan across the RJCN submarine cable. 
<p>TEA is listed on a <a href = ""http://web.archive.org/web/20191011060301/https://image.slidesharecdn.com/chinatelecomamericas-generaloverview-september21-180315164945/95/china-telecom-americas-general-overview-8-638.jpg?cb=1521133069"">China Telecom Network Map from 2017</a> as one of eight of their terrestrial cables. TEA froms part of China Telecom's <a href = ""https://www.chinatelecomeurope.com/wp-content/uploads/ChinaTelecom_Euro-Asia-network-solution.pdf"">""Euro-Asia Network Solution (ENS)""</a>.
<p>China Telecom's <a href = ""https://www.submarinenetworks.com/systems/asia-europe-africa/tea/tea-cable-network"">access to this cable over Russian territory</a> is through an agreement with Russian operator Rostelecom. Rostelecom, with peer connections into China through China Telecom and China Unicom. TEA connects in to ERA which is handled by China Unicom and Russian Transtelekom (TTK). TEA connection to Japan via RJCN submarine cable is handled by KDDI and Rostelecom. 

<p><a href = ""https://web.archive.org/web/20190626233637/https://i0.wp.com/www.ctamericas.com/wp-content/uploads/2017/03/China_Telecom_Network_Map_2017.jpg"">Cable source</a>
<p>More about TEA & TEA2, <a href = ""http://www.hkcolo.com/hkconnect/2011/event/thankyou/pdf/Rostelecom_Irina.pdf"">Rostelecom</a>","transit-europe-asia-tea","FALSE","","","","","1 | Telecommunications","1 | State-owned enterprise","China,Russia,Finland","","","","","13 | Cable Terrestrial","","","","","7 | China Unicom","","","transit-europe-asia-tea",""
"1689","1 | Huawei","15 | Telecommunications or ICT","","103 | India","","12.98805","77.59411","Airtel LTE ","2019","","","<p>Indian telecom service company Bharti Airtel is <a href=""https://www.telegeography.com/products/commsupdate/articles/2019/01/23/airtel-rolls-out-900mhz-lte-in-ten-circles/"">working with</a> vendors, including Huawei, to deploy LTE in India.</p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","15 | Telecommunications or ICT103 | India","103 | India","103 | India","103 | India","103 | India","1 | Huawei103 | India","","","",""
"1904","1 | Huawei","12 | 5G relationship","","121 | Kuwait","","29.34798","48.08941","Viva 5G deal","2019","3 | 5G","","<p>In 2019 Viva Kuwait and Huawei <a href=""http://www.tradearabia.com/news/IT_351894.html"">agreed</a> to cooperate on 5G technologies.</p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","12 | 5G relationship121 | Kuwait","121 | Kuwait","3 | 5G121 | Kuwait","121 | Kuwait","121 | Kuwait","1 | Huawei121 | Kuwait","","","",""
"1907","1 | Huawei","12 | 5G relationship","","23 | Bahrain","","26.23239","50.55093","VIVA 5G deal","2019","3 | 5G","","<p>At the 2019 World Mobile Congress in Barcelona VIVA Bahrain <a href=""https://www.huawei.com/en/press-events/news/2019/2/viva-bahrain-agreement-huawei"">signed</a> a nationwide 5G service agreement with Huawei. VIVA Bahrain is the leading telecommunication provider in Bahrain. </p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","12 | 5G relationship23 | Bahrain","23 | Bahrain","3 | 5G23 | Bahrain","23 | Bahrain","23 | Bahrain","1 | Huawei23 | Bahrain","","","",""
"1908","1 | Huawei","12 | 5G relationship","","243 | South Africa","","-26.04436","28.01887","Rain 5G deal","2019","3 | 5G","","<p>At the 2019 World Mobile Congress in Barcelona Rain announced that it has <a href=""https://www.huawei.com/en/press-events/news/2019/2/rain-huawei-first-5g-commercial-network-south-africa"">launched</a> South Africa&rsquo;s first 5G commercial network in partnership with Huawei. South Africa is one of the first countries to launch a 5G network. In November 2019 the 5G service was <a href=""https://businesstech.co.za/news/telecommunications/352717/rain-5g-launches-in-south-africa/"">officially opened to the public</a>, beyond a select group of existing customers. During 2020 Rain hopes to expand 5G coverage to more ares of South Africa.&nbsp;<br/></p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","12 | 5G relationship243 | South Africa","243 | South Africa","3 | 5G243 | South Africa","243 | South Africa","243 | South Africa","1 | Huawei243 | South Africa","","","",""
"1909","1 | Huawei","12 | 5G relationship","","190 | Saudi Arabia","","24.75243","46.57567","STC 5G deal ","2019","3 | 5G","","<p>At the 2019 Mobile World Congress in Barcelona Saudi Telecom Company (STC) and Huawei <a href=""https://www.huawei.com/en/press-events/news/2019/2/STC-Huawei-5G-Aspiration-Project"">signed an agreement</a> to cooperate on 5G technology.</p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","12 | 5G relationship190 | Saudi Arabia","190 | Saudi Arabia","3 | 5G190 | Saudi Arabia","190 | Saudi Arabia","190 | Saudi Arabia","1 | Huawei190 | Saudi Arabia","","","",""
"1910","1 | Huawei","12 | 5G relationship","","107 | Iceland","","64.13882","-21.89054","Nova 5G deal","2019","3 | 5G","","<p>At the 2019 Mobile World Congress in Barcelona, Huawei and Nova <a href=""https://www.huawei.com/en/press-events/news/2019/2/Huawei-Icelandic-Operator-Nova-Agreement-5G-Testing"">signed an agreement</a> to cooperate on 5G technology in Iceland.</p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","12 | 5G relationship107 | Iceland","107 | Iceland","3 | 5G107 | Iceland","107 | Iceland","107 | Iceland","1 | Huawei107 | Iceland","","","",""
"1911","1 | Huawei","12 | 5G relationship","","155 | Malaysia","","3.15821","101.71350","Maxis 5G deal","2019","3 | 5G","","<p>At the 2019 Mobile World Congress in Barcelona, Maxis and Huawei <a href=""https://www.huawei.com/en/press-events/news/2019/2/maxis-huawei-mou"">signed an MoU</a> on a 5G acceleration program. </p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","12 | 5G relationship155 | Malaysia","155 | Malaysia","3 | 5G155 | Malaysia","155 | Malaysia","155 | Malaysia","1 | Huawei155 | Malaysia","","","",""
"1934","1 | Huawei","8 | Data centre","","243 | South Africa","","26.20410","28.04730","Johannesburg Data Centre","2019","","","<p>China’s Huawei will build two data centers in South Africa from March, it said, as part of plans to expand cloud services across Africa. “The company is working with South African partners for the construction of the data centers in Johannesburg initially and later Cape Town,” Huawei said in a statement. <a href""https://www.reuters.com/article/us-huawei-safrica/huawei-to-build-data-centers-in-south-africa-idUSKCN1Q3187>Source</a></p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","8 | Data centre243 | South Africa","243 | South Africa","243 | South Africa","243 | South Africa","243 | South Africa","1 | Huawei243 | South Africa","","","",""
